floor_rate,floor_agg,coupled_t_rate,coupled_t_agg
0.036811,31.195223,0.008378,7.099953
0.042929,36.380138,0.022203,18.815606
0.056537,47.912052,0.024299,20.592424
0.032759,27.761836,0.017302,14.662648
0.048586,41.174620,0.039652,33.602845
0.053772,45.569151,0.015179,12.863148
0.027643,23.425799,0.034793,29.485560
0.048344,40.969232,0.006269,5.313101
0.040676,34.471222,0.018894,16.012143
0.048184,40.833788,0.012650,10.720471
0.022803,19.324298,0.018840,15.965688
0.032302,27.374062,0.007961,6.746531
0.033355,28.267021,0.040472,40.552926
0.049561,42.000350,0.028689,24.312594
0.032651,27.669948,0.045428,38.498351
0.002308,1.955828,0.025477,21.590436
0.024409,20.685401,0.016538,14.014883
0.030006,25.428308,0.063112,53.484019
0.054068,45.820401,0.066012,55.942324
0.013800,11.694847,0.021282,18.035771
0.021508,18.226915,0.046047,39.022899
0.053231,45.110926,0.022975,19.469949
0.025239,21.389245,0.008382,7.103722
0.029471,24.974991,0.010120,8.575966
0.029878,25.320586,0.011276,9.556004
0.021010,17.805240,0.049580,42.016584
0.017878,15.150538,-0.004856,-4.115026
0.040922,34.679527,0.060609,51.363169
0.023594,19.995103,0.051004,43.223241
0.051434,43.587545,0.033283,28.205803
0.021489,18.210708,0.048643,41.222695
0.050895,43.130858,0.010649,10.669792
0.025151,21.314244,0.028079,23.795768
0.049136,41.640603,0.015518,13.150366
0.015434,13.079976,0.010742,9.103684
0.009945,8.427575,0.026965,22.851400
0.028083,23.798972,0.034950,29.618762
0.011761,9.967202,0.000974,0.976377
0.037752,31.993444,0.006947,5.887674
0.021516,18.233408,0.027934,27.989548
0.030730,26.042556,0.000712,0.713843
0.004745,4.021450,0.004075,4.083596
0.029140,24.694621,0.045255,38.351305
0.032330,27.398424,0.035897,30.421128
0.026444,22.409622,0.058353,49.451061
0.007110,6.025217,0.020870,17.686206
0.055189,46.769741,0.026827,22.734656
0.017871,15.144938,0.008338,7.065672
0.050752,43.009847,0.003655,3.097046
0.018655,15.808904,-0.008010,-6.788433
0.014240,12.067447,0.038367,32.514337
0.048344,40.969398,0.026590,22.533498
0.033975,28.791999,0.054559,46.236090
0.038605,32.715981,-0.000645,-0.646595
0.009287,7.870659,0.012272,10.399652
0.032207,27.293516,0.030612,25.942114
0.051918,43.998230,0.006350,5.381384
0.003230,2.737304,0.065486,55.496679
0.012497,10.590215,0.022348,18.938672
0.045029,38.159985,0.023696,20.081132
0.012104,10.257208,0.056496,47.877421
0.015419,13.066814,0.016869,14.295522
0.022014,18.655722,0.024769,20.990266
0.018101,15.339502,0.047636,40.369375
0.013702,11.611689,0.008859,7.507731
0.057124,48.409887,0.043501,36.865075
0.017349,14.702773,0.001440,1.442667
0.063183,53.544186,0.002719,2.304140
0.036602,31.018223,0.007860,6.660754
0.020803,17.629899,0.022196,18.810033
0.030669,25.990634,0.022752,19.281024
0.029285,24.817613,0.019561,19.599946
0.034720,29.423383,0.021580,18.288437
0.034287,29.056954,0.047946,48.041448
0.019574,16.587975,0.035099,29.745148
0.025995,22.029753,0.024756,20.979365
0.037540,31.813624,0.052409,44.414514
0.009275,7.859738,0.009518,8.065782
0.023995,20.334444,0.045755,38.775234
0.032248,27.328418,0.025857,21.912342
0.024461,20.729826,0.049157,41.658041
0.044660,37.847531,0.001033,0.875535
0.018157,15.387118,0.038620,32.728959
0.023659,20.049994,0.023414,19.841944
0.011881,10.068843,0.038493,32.620996
0.005807,4.921124,0.020886,17.699805
0.021106,17.885987,0.041208,34.921599
0.012975,10.995801,0.032977,27.946594
0.021560,18.271079,0.026925,22.817758
0.027587,23.378598,0.044841,38.000555
0.009330,7.906703,0.028580,24.220518
0.057551,48.771637,0.059757,50.640806
0.047043,39.867050,0.033520,33.586519
0.003628,3.074598,0.001123,0.951478
0.030960,26.236728,0.003382,2.866037
0.031707,26.870083,0.043315,36.707203
0.040840,34.610295,0.021420,21.462733
0.019891,16.857006,0.011067,9.378618
0.009603,8.138324,0.043373,36.756830
0.059603,50.510649,0.053105,45.003829
0.017908,15.175803,0.017974,15.231767
0.026653,22.587287,0.043234,36.638641
0.001116,0.945863,0.030011,25.432994
0.035076,29.725211,0.052338,44.353774
0.022578,19.133358,0.028564,24.206451
0.002133,1.807642,0.085264,85.433634
0.015927,13.497528,0.004333,3.671903
0.023936,20.284321,0.012854,10.893127
0.041387,35.073450,0.036681,31.085200
0.018570,15.736878,0.032683,32.748065
0.021350,18.092991,0.039669,33.617346
0.051965,44.037724,0.037649,31.905378
0.048452,41.060524,0.024046,20.377909
0.011333,9.604379,0.033299,28.219424
0.033212,28.145936,-0.001896,-1.606518
0.049293,41.773374,0.016690,14.144381
0.024872,21.078206,0.069333,58.756813
0.054716,46.368787,0.023185,19.648562
0.036203,30.680137,0.006300,5.338791
0.020779,17.609246,0.030240,25.627030
0.023189,19.651440,0.026965,22.851385
0.041557,35.217346,0.025252,21.399523
0.036109,30.600852,0.030016,25.436837
0.002921,2.475302,0.061388,52.023120
0.026238,22.235391,0.015038,12.743856
0.003682,3.120110,0.044532,37.738648
0.026984,22.867247,0.011975,10.148090
0.008046,6.818880,0.028660,24.287928
0.013445,11.394388,0.020503,17.375666
0.060423,51.205690,0.051332,51.434213
0.047757,40.471495,-0.002354,-2.358820
0.010545,8.936743,0.037502,31.781048
0.046115,39.079898,0.021835,18.504369
0.015705,13.309115,-0.014140,-11.982894
0.011793,9.993734,0.012473,10.570216
0.049839,42.235774,0.017156,14.539057
0.016875,14.300641,0.068635,68.771883
0.030778,26.082814,0.047888,40.582875
0.030504,25.850925,-0.020373,-20.414127
0.027090,22.957820,0.013498,11.438791
0.035131,29.771937,0.054016,45.776099
0.008527,7.226165,0.034877,29.556301
0.029600,25.084691,0.045520,38.576186
0.047438,40.201607,0.049327,41.802205
0.052030,44.092907,0.063400,53.728587
0.034241,29.017873,0.055224,46.800089
0.023778,20.150857,0.024549,20.804296
0.058063,49.205472,-0.028752,-28.809040
0.021929,18.584090,0.022186,18.802001
0.006740,5.712069,0.056838,48.167549
0.055432,46.976107,0.028992,24.569583
0.022815,19.334738,0.036948,31.311892
0.060145,50.969984,0.056689,56.801994
0.016393,13.891899,0.010095,8.554981
0.024030,20.364197,0.012655,10.724111
0.019558,16.574331,0.018458,15.641941
0.025548,21.650481,0.036695,31.097424
0.004366,3.700090,0.012075,10.233177
0.041422,35.103399,0.013613,13.639701
0.063719,53.999128,0.027625,23.411049
0.055657,47.166713,0.051937,44.014431
0.024232,20.535434,0.019883,16.850055
0.046362,39.289453,0.026831,22.738018
0.010694,9.062876,0.000035,0.029464
0.016380,13.880990,0.023082,19.560924
0.015156,12.843832,0.011920,10.101514
0.012167,10.311018,0.042149,42.233485
0.035285,29.902369,0.031261,26.492022
0.033099,28.049538,0.015222,15.252264
0.029953,25.383902,0.024252,24.300016
0.010358,8.778019,0.046589,39.481860
0.007318,6.201289,0.016936,14.352721
0.016638,14.100317,0.031260,26.491302
0.042181,35.746707,0.013275,11.249829
0.056962,48.272272,0.024701,20.932914
0.027818,23.574630,0.060135,60.255136
0.006461,5.475365,0.000034,0.028726
0.033236,28.165529,0.054169,45.905843
