alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
265,1.52021e-09,1.41144e-09,6.81588e-11,4.06126e-11,8.37352e-10
266,1.40678e-09,1.2847e-09,7.58752e-11,4.61998e-11,4.221e-10
267,7.28408e-10,6.00822e-10,7.49106e-11,5.2676e-11,3.77488e-10
268,6.10485e-10,4.83603e-10,8.14849e-11,4.53977e-11,3.6186e-10
269,5.98564e-10,4.754e-10,8.19562e-11,4.12077e-11,3.64406e-10
270,1.28697e-09,1.16943e-09,7.976e-11,3.77827e-11,1.06491e-09
271,1.66639e-09,1.55274e-09,7.80818e-11,3.55695e-11,1.19374e-09
272,1.75599e-09,1.64604e-09,7.28465e-11,3.7103e-11,1.05554e-09
273,1.68209e-09,1.55243e-09,7.27853e-11,5.68718e-11,1.10744e-09
274,1.18409e-09,1.05634e-09,7.06055e-11,5.71459e-11,6.78586e-10
275,1.14358e-09,1.01156e-09,7.4956e-11,5.70635e-11,6.54176e-10
276,1.24572e-09,1.12507e-09,7.24731e-11,4.81712e-11,7.64004e-10
277,1.42468e-09,1.30917e-09,7.01262e-11,4.53879e-11,9.09333e-10
278,1.24305e-09,1.1248e-09,7.6217e-11,4.20269e-11,5.4741e-10
279,1.06473e-09,9.50979e-10,7.38495e-11,3.99031e-11,5.72859e-10
280,1.2611e-09,1.14742e-09,7.54336e-11,3.82439e-11,3.68415e-10
281,3.40592e-09,3.29287e-09,7.61812e-11,3.68715e-11,5.59696e-10
282,6.19336e-09,6.08669e-09,7.09724e-11,3.5698e-11,1.22372e-09
283,7.87702e-09,7.76148e-09,7.40106e-11,4.15313e-11,1.29441e-09
284,8.49437e-09,8.34516e-09,1.09735e-10,3.94799e-11,5.50042e-10
285,8.28255e-09,8.13775e-09,9.94068e-11,4.53961e-11,4.57065e-11
286,9.4742e-09,9.32907e-09,9.98481e-11,4.52804e-11,1.75138e-10
287,8.54232e-09,8.38966e-09,1.12392e-10,4.02735e-11,2.41869e-10
288,7.50034e-09,7.36411e-09,9.81307e-11,3.81025e-11,1.64064e-10
289,6.62967e-09,6.49665e-09,9.51331e-11,3.78955e-11,1.407e-10
290,4.41581e-09,4.27535e-09,9.8944e-11,4.15197e-11,1.28766e-10
291,3.63888e-09,3.49268e-09,1.00212e-10,4.59869e-11,1.21846e-10
292,4.74363e-09,4.20764e-09,1.26055e-10,4.0993e-10,2.23759e-10
293,4.94455e-09,4.56557e-09,1.17325e-10,2.61655e-10,9.11288e-10
294,7.32982e-09,7.00545e-09,1.08225e-10,2.16141e-10,9.18816e-10
295,6.45923e-09,6.13037e-09,1.02024e-10,2.26836e-10,6.84337e-10
296,6.49941e-09,5.96803e-09,1.00697e-10,4.30676e-10,6.05915e-10
297,6.76161e-09,6.29651e-09,1.06776e-10,3.58324e-10,3.09284e-09
298,5.66596e-09,5.14175e-09,1.12654e-10,4.11558e-10,3.06042e-09
299,5.96628e-09,5.4982e-09,1.11774e-10,3.56306e-10,2.68272e-09
300,1.01338e-08,9.90775e-09,1.08973e-10,1.17086e-10,7.57911e-09
301,1.14483e-08,1.10848e-08,1.0807e-10,2.5548e-10,8.8308e-09
302,6.49111e-09,5.99593e-09,1.05172e-10,3.90013e-10,2.77553e-09
303,5.14856e-09,4.66224e-09,1.94536e-10,2.91786e-10,1.70068e-09
304,4.24533e-09,3.85396e-09,1.44196e-10,2.47176e-10,1.90913e-09
305,5.84626e-09,5.48939e-09,1.34188e-10,2.22682e-10,2.6327e-09
306,6.62655e-09,6.15903e-09,1.31861e-10,3.35654e-10,1.83787e-09
307,4.02848e-09,3.62908e-09,1.24554e-10,2.74845e-10,1.20198e-09
308,2.63996e-09,2.27036e-09,1.2011e-10,2.49486e-10,1.3393e-09
309,2.15767e-09,1.80037e-09,1.18108e-10,2.39195e-10,9.07162e-10
310,2.37277e-09,2.02766e-09,1.14575e-10,2.30537e-10,8.7135e-10
311,2.8388e-09,2.47688e-09,1.26216e-10,2.35707e-10,1.3337e-09
312,3.13628e-09,2.45481e-09,4.49386e-10,2.32089e-10,1.09352e-09
313,3.37287e-09,2.5821e-09,5.46362e-10,2.4441e-10,1.22008e-09
314,3.61514e-09,2.95567e-09,4.00697e-10,2.58772e-10,1.73383e-09
315,4.07218e-09,3.20106e-09,5.89798e-10,2.81318e-10,1.77355e-09
316,4.63688e-09,3.58513e-09,6.12508e-10,4.39242e-10,2.04298e-09
317,5.75018e-09,5.02561e-09,5.20545e-10,2.04024e-10,2.93544e-09
318,5.99043e-09,4.94047e-09,5.54427e-10,4.95525e-10,3.49991e-09
319,5.66396e-09,4.72211e-09,5.51293e-10,3.90564e-10,3.20907e-09
320,5.62488e-09,5.01093e-09,2.69322e-10,3.44623e-10,2.83613e-09
321,5.8742e-09,5.24993e-09,2.59741e-10,3.64532e-10,3.51509e-09
322,6.40054e-09,5.77699e-09,2.54672e-10,3.68869e-10,4.36007e-09
323,7.15297e-09,6.53076e-09,2.56954e-10,3.65256e-10,5.0146e-09
324,1.16645e-08,1.10223e-08,2.5559e-10,3.86692e-10,8.73136e-09
325,1.12568e-08,1.0486e-08,2.57644e-10,5.13159e-10,8.20261e-09
326,1.13276e-08,1.05946e-08,2.73229e-10,4.59849e-10,8.49652e-09
327,1.14943e-08,1.07333e-08,2.81164e-10,4.79758e-10,8.80188e-09
328,1.27502e-08,1.22153e-08,3.01575e-10,2.33369e-10,9.47693e-09
329,1.34245e-08,1.23263e-08,8.47984e-10,2.50209e-10,9.1046e-09
330,8.97205e-09,7.97144e-09,7.81665e-10,2.18938e-10,5.74224e-09
331,5.65478e-09,4.89592e-09,5.51551e-10,2.073e-10,3.0254e-09
332,6.29931e-09,5.57876e-09,5.10023e-10,2.10527e-10,3.79001e-09
333,8.17967e-09,7.13417e-09,8.34595e-10,2.10902e-10,5.26456e-09
334,3.82797e-08,3.74235e-08,5.37024e-10,3.19137e-10,3.5708e-08
335,3.90894e-08,3.836e-08,4.40787e-10,2.8857e-10,3.62742e-08
336,1.00961e-08,9.34655e-09,4.07054e-10,3.42494e-10,8.38505e-09
