theta,k,L,Qd,n,u,M,Qeq,Qstar,Qoa,region_eq,fstar_cournot
1136.90277,452459.358,8508473.34,91503.9628,3,0.712806273,4.9731147,0,0,0,0,-453130.173
5317.67479,234850.416,444026.177,750895.729,3,1.42235949,2.68426166,0,0,0,0,-229720.987
156639.865,33326.3271,4424326.03,16921.7099,2,2.32828748,6.06068959,8643.1747,12919.1732,12964.7621,1,-59487.3532
236429.062,91892.0424,345246.512,713933.566,9,0.370050907,2.37638581,392440.199,435745.985,436044.665,2,-15945.4619
796.0481,366809.636,3455722.99,149290.257,5,0.615327585,3.52514596,0,0,0,0,-366647.389
40389.6079,266343.871,3107081,37608.7732,2,0.274110395,11.1202718,0,0,0,0,-226208.118
28597.7075,300055.683,8041847.76,369874.115,8,2.90970605,20.1764961,0,0,0,0,-278432.465
303931.113,565014.56,5774643.16,64812.4931,6,0.509047934,16.2788421,0,0,0,0,-261959.623
27244.2884,45766.7996,4502406.68,24912.6294,8,0.389599684,18.6121064,0,0,0,0,-19045.3536
356.73588,41964.5003,5623031.43,90400.4647,8,0.469795383,3.25029201,0,0,0,0,-42395.1487
4808.54255,416168.106,557007.679,58633.585,3,0.149831388,2.842633,0,0,0,0,-411384.439
148328.164,446786.974,3576179.83,273263.758,7,0.414120981,10.604029,0,0,0,0,-298900.231
28961.8886,176176.71,6824689.07,870694.41,2,0.556426999,44.5363731,0,0,0,0,-148346.697
12683.2585,63663.3249,4589710.58,41914.6947,3,2.0459598,17.8420165,0,0,0,0,-53778.9825
770.081638,771545.626,5411128.82,949175.002,7,0.965350681,4.13085006,0,0,0,0,-772332.515
4174.81459,119451.509,3594103.32,880445.712,4,0.809070373,9.96820959,0,0,0,0,-116143.425
1641022.72,543447.583,1271932.49,537400.705,7,4.21842127,8.90893828,313090.996,356701.408,357818.281,2,-152658.363
165866.486,256409.05,666852.714,96414.8548,9,1.16377693,6.32027426,0,0,0,0,-90773.8813
93499.1538,46438.3505,836732.025,15050.8018,8,0.727638172,6.81536048,6706.67088,7541.89696,7545.00474,1,-5838.19314
1280965.99,357001.261,509589.313,112814.728,7,0.704770731,19.6738047,71189.754,81354.6649,81359.7189,1,-131914.082
26764.3649,167998.416,301340.663,304043.006,8,0.835233662,6.97812685,0,0,0,0,-141309.071
9695.59229,903813.068,1766468.2,288246.414,7,0.474465832,3.72793712,0,0,0,0,-894367.291
26957.4298,175756.832,597402.305,433707.721,3,5.27837285,2.41452153,0,0,0,0,-149739.286
1215410.73,324782.515,443345.313,710255.247,8,7.22099787,6.19407701,460640.623,516514.676,518220.701,2,-107914.26
1681038.87,61922.9729,351173.703,33345.0411,6,0.826044111,6.74429671,27526.8883,32114.2752,32114.703,1,-269813.076
64731.3047,55076.2072,2881392.24,17061.2611,7,1.12551093,5.13924819,2000.80341,2267.37468,2286.63247,1,-1157.58313
559.688236,921493.384,597736.509,35356.6178,10,0.979120467,22.0027236,0,0,0,0,-921108.139
27627.5615,137467.415,395665.438,27511.0425,10,0.391251628,7.31751649,0,0,0,0,-109885.995
2247853.56,908086.908,6535788.97,14202.1899,5,1.69396205,3.73591793,7035.76754,8440.59375,8442.92105,1,-266851.259
99087.5475,991108.849,398201.375,44069.1209,3,0.576012355,8.31616842,0,0,0,0,-892089.668
10219.4655,201994.36,3908224.09,942320.69,7,0.655294226,3.21068855,0,0,0,0,-192538.244
67771.3647,55082.9427,8006334.35,22088.5132,6,1.14505538,9.69199837,2766.98629,3156.49349,3228.15068,1,-1401.4832
179707.822,37549.0507,416378.969,54300.2185,9,0.514373186,8.64550322,38637.3148,42924.3248,42930.3497,1,-15766.1684
404.97864,902192.972,2302555.86,127499.583,5,0.494436466,5.55622931,0,0,0,0,-902127.328
