starlink_current,all_active_current,itu_m1_increment,fcc_50pct_increment
1833.96043,2154.39404,40870.7913,184258.919
2294.24541,1297.33143,21073.9447,87635.2247
1984.81919,3785.4806,13812.5659,78156.9013
2584.05417,3374.14436,35299.8174,70957.9594
2159.75819,2046.76427,29555.5186,232145.243
1921.78427,2655.4697,7516.407,51487.5752
2621.16248,3157.67275,36139.1701,65625.8856
2420.12869,2257.23987,35098.399,56886.1605
1868.18957,1447.03407,30091.5209,34152.8162
2510.39822,3023.99862,10697.4027,68872.9085
1975.80837,1216.91057,27116.1724,215010.727
2652.57385,2043.25777,19551.8702,219897.253
1795.42587,3619.1323,26417.0506,194611.14
2565.57935,3617.80937,11725.7343,199501.536
2675.52308,2977.8718,39783.2293,102539.842
2361.83466,2048.68385,19299.3592,101433.938
1745.49194,1280.34466,14114.5939,214297.237
2546.25466,1357.89995,49252.5391,119507.238
2029.88308,3696.71563,7584.68124,105292.283
2181.3247,1583.19267,24621.5256,68925.6615
2328.60249,994.593991,39963.434,32201.196
2468.60596,2924.2817,16540.4032,247008.999
2402.43874,2234.7493,42440.3929,84027.2741
2175.76899,2806.77623,39922.1527,170918.722
2282.98718,3270.32573,6467.91875,207721.894
2131.088,2252.45472,45464.2344,72244.428
2461.49403,1060.4534,24797.4881,39000.9241
2539.22091,1215.34181,13242.3021,86658.4725
2329.16034,3930.78184,42472.5388,33810.7031
2165.23191,3036.62668,25761.0035,224742.074
1926.68976,2034.20207,25222.1063,235531.416
2673.32587,2376.30681,30310.6414,126831.82
2073.0118,1993.76575,33652.2759,57360.4184
1731.90027,1501.66488,6293.75928,243782.891
1984.01164,2599.08217,35926.7223,194136.136
2288.27725,1762.15946,24163.7667,60782.1959
2435.35346,1769.404,47266.2385,150954.462
2672.14314,3123.77933,31506.7392,91734.1214
2316.20222,3244.4896,18122.5049,100930.776
2252.94491,930.087663,12643.6813,74158.5038
1883.80192,3301.74426,36475.2004,229044.86
2312.84786,2055.24734,28376.522,108231.993
2320.67631,1433.73693,13913.1385,108712.551
2437.9291,2564.33031,21150.0697,38926.5762
2485.08453,1599.49451,9850.7063,143621.58
2375.97196,1772.97881,25197.6241,31876.5683
1754.21395,3857.65123,43003.506,197278.5
2101.44156,2900.50358,43736.311,37134.9609
1949.60924,1884.77569,33727.4849,47655.3127
2049.72622,1621.00403,21731.0941,232994.097
2290.02322,1713.37582,25912.4771,48912.2936
2169.38223,3186.71658,18286.1972,161045.877
2546.78586,3695.56536,23789.764,37034.1273
2418.48838,2647.75767,36060.3913,154891.22
2572.62598,2487.43317,19697.5477,136106.694
2475.71626,1032.33663,12939.6823,74673.1815
2075.84854,2677.58497,17991.3822,185480.28
2013.07409,3125.89029,44261.5772,173614.928
2052.13208,1086.48755,17433.6429,35079.0399
2151.05204,1125.39561,45209.2209,236004.359
2671.07035,2938.68744,41866.2734,210096.278
1789.70166,2772.24014,9613.14984,146018.761
2611.68235,2521.80035,18600.6889,70902.7935
2105.67022,3515.88269,12497.257,191878.028
1885.99998,2186.69047,28249.9741,167656.675
2338.81576,1795.18525,39271.7209,163266.595
1895.43397,3095.21391,6374.17178,59607.2985
1854.05928,1996.30895,47788.1442,233981.494
1747.4102,4026.2393,18681.6797,113065.551
2367.99169,2272.85452,26953.774,210032.937
2402.67568,3855.83845,31851.2865,53017.5478
2632.96061,2659.46307,6914.57101,138959.355
2119.42522,1132.23784,23995.6613,163046.645
2672.15447,2974.55898,17586.9953,203164.051
2641.66782,3333.16797,49261.0612,37124.8384
2420.42579,3300.99851,38056.2301,51051.0995
2078.03484,3408.14048,7438.78958,117391.513
2147.25717,3125.34884,29344.0026,68260.1249
1906.55113,2324.43696,40471.7056,128359.663
2126.9212,3326.56233,40574.0801,170695.159
2057.30312,2039.10743,42744.0787,223726.82
2177.67243,2251.861,41924.1461,85703.4413
1935.16561,1915.74334,20851.3922,220000.496
1929.43544,846.909841,26199.526,114982.974
2508.85597,3869.86417,45005.3349,48421.7673
2668.44071,3581.24502,46300.8708,246349.815
1787.87905,2836.68981,14013.8453,167370.855
2216.71395,2456.96551,11335.8268,202378.743
1757.23255,3133.35756,26813.4383,176781.17
2375.67771,2571.49646,22385.5821,121151.569
1788.50504,2778.04854,48088.8086,97929.2878
2587.22572,2618.58097,42237.464,186620.727
2125.7566,2187.38362,21862.709,32362.3037
2084.60844,1880.19625,35588.7822,52995.5679
1730.18427,1618.69035,15723.3575,203631.917
1957.92126,1185.33447,24002.4178,69725.009
1789.21812,2459.41415,46649.7301,240834.169
2527.90082,3584.09453,45877.7202,88028.5695
2506.16916,3250.34489,38380.1,235852.573
2253.2672,2103.88167,26271.8564,223242.449
2569.05385,2310.05116,17538.5761,74321.3322
1957.62766,1754.25436,6615.48031,51996.6145
2385.99488,3182.08351,34086.72,119518.344
2442.8621,3648.64136,36160.4126,207277.319
2532.44381,1833.13088,23982.8579,156332.747
1775.44659,956.83137,22909.5347,87924.8875
2384.80623,2039.28987,48866.3993,136139.002
2128.61856,1023.76506,8589.61884,90116.019
2455.6298,3319.28803,25261.7661,200548.125
1837.554,3158.19438,40135.0783,92092.038
2008.70421,1199.15431,12187.5067,83864.2729
2124.03294,1490.41031,42422.4936,38759.3203
2376.57297,2510.89404,38742.2673,123708.696
1938.71079,2598.04739,14322.9962,72072.1886
1991.18302,3975.13497,7112.51192,91520.3508
1852.97798,3045.6953,21159.1555,38257.5225
1726.67123,2864.40235,36620.5052,221016.652
2420.96619,2210.49504,13719.4297,184241.517
2214.51488,2544.37425,39640.6306,205745.462
2393.7813,1505.76586,23104.5918,171730.82
2619.89623,2885.82592,26913.7421,58730.6552
2217.27439,1879.55443,46656.0469,207364.843
2000.27779,1102.93662,26941.6497,184831.743
1912.98233,3445.56872,35976.9569,207447.369
1962.61602,2493.59128,29411.3569,114650.405
2122.0132,3266.58059,16055.1656,63791.162
2616.47532,2534.10976,26409.1728,218338.184
2059.18966,2349.23364,50011.0606,122682.243
2061.42829,3127.58138,45264.5133,52196.8699
2367.08548,3168.51792,32199.2963,180987.715
2657.78866,2848.29125,23829.3143,54689.6246
1745.37318,1955.6407,40250.9788,40252.9756
2368.84393,1043.03313,49762.8735,158465.132
2577.15163,1184.63201,25380.3842,227265.687
1807.63931,1857.86211,44475.6994,62614.2764
1880.69126,2681.90124,46704.1386,148832.585
1856.21649,3123.03999,29924.3998,126137.293
2212.03446,1521.85246,19303.8133,241474.88
2650.86353,3599.77391,49399.4135,201417.535
2250.16846,2248.80244,40909.9128,139626.665
2173.27223,3996.58576,19058.9152,221623.772
2087.58399,1120.04578,15982.1413,131629.101
1872.29977,2718.37015,7430.56313,221501.609
2128.57873,2100.80086,26949.0712,81551.8331
2610.88751,2098.93609,26488.5066,39439.975
2145.91187,1120.96486,10810.2157,243205.047
2028.21665,2575.3665,34736.6335,57552.2627
2016.39897,1754.00711,14312.1241,205797.601
2268.85176,1753.83727,39004.2911,207542.78
2532.56649,1709.42825,41087.7685,43006.7388
1749.86921,3763.78636,7176.0331,176535.413
2466.69509,2785.33891,20387.2578,183315.784
2156.0017,1959.44234,32771.2096,199823.966
2096.75933,3845.09241,42998.6673,111827.689
2241.67511,1682.36725,36646.5216,193156.373
2120.72803,3201.29751,38833.5974,61312.6911
1971.56547,3458.69737,34192.8029,38329.9569
1905.65507,2138.61836,46705.4979,149162.921
2627.68454,3997.05005,31719.4272,54433.7885
2527.74456,3185.62356,7323.56757,40798.605
1759.66211,2904.97431,35240.6902,182428.863
2493.13864,2206.24834,18007.2293,167055.877
2453.40896,882.907849,49410.3588,133507.247
2665.5748,1839.37729,35808.115,145086.118
2167.85745,3132.89547,24725.6801,54776.7355
1822.22562,962.360438,10507.902,71637.2776
2302.01774,3047.28988,20447.4752,58431.4091
2519.39015,2780.62009,43428.0736,179367.087
1977.79075,3757.2825,10948.3075,89134.3722
1796.6499,1528.34765,11260.2233,245904.351
1831.251,2610.48577,31279.3732,198862.275
2366.60685,2699.33731,13202.5209,135560.408
2325.48424,952.112766,23791.3014,86723.7746
1763.72543,3589.91571,49347.9657,118660.086
1854.65775,2490.93279,8164.46017,235963.6
2339.25044,3199.21774,46683.8856,227071.767
2039.28071,1738.21657,7292.39809,215116.838
2586.88265,1885.84073,21272.7003,145759.46
2223.46961,975.312733,32995.9773,40551.8674
2369.68876,1841.53929,9080.03318,41593.5044
2097.68563,833.434366,7917.11203,95988.9553
2158.01811,2778.90524,41301.1003,181634.645
1919.61589,858.213573,16851.7423,183154.342
1897.93521,3617.93911,38795.9556,76575.7705
2111.09928,3808.2451,44632.448,108375.38
1974.83553,2522.57358,13630.7995,74942.4899
1905.87926,3259.56687,14003.2895,148949.314
2385.43573,1338.82391,17519.173,179420.579
2607.87555,2241.222,12231.9427,82051.4435
2165.65204,1462.4156,8736.55424,130638.37
2169.87452,3631.87191,21518.7796,213488.378
2526.95406,2417.51185,39458.102,177361.384
2354.87613,2613.12118,39008.6874,195013.097
2649.56605,3557.7364,38808.057,167534.282
2393.53042,3759.40633,48223.7425,33052.8617
2118.87415,1716.65376,43492.2169,47115.2376
2310.60078,1895.88972,29148.4721,125358.615
2097.22277,1513.5361,12261.1737,220569.268
2239.83761,936.050914,40956.2247,206273.594
2244.14633,1329.0538,17644.0189,68569.4677
1782.19078,2945.00491,35933.146,126545.486
1771.89606,2860.94817,36786.2191,172731.039
2572.58086,1989.0447,16860.2966,234821.828
2293.55449,3936.66915,48540.9234,193149.073
2143.78529,1743.32147,27995.4013,246471.165
2671.81471,991.816249,9172.14016,231235.607
2048.13964,1022.38471,7713.92898,125986.597
2579.96985,2095.26049,10569.4607,64894.1806
2338.18196,2597.5488,25197.5244,149418.883
2302.50676,1196.3957,41827.7963,33948.8709
2011.07098,2510.2401,17261.3144,54147.2267
2211.55492,3068.67965,37979.8822,248611.314
1727.18569,2952.65197,18177.5962,120420.889
2224.75416,1675.79149,42747.9394,166257.909
2318.12306,939.17418,39422.143,32251.7791
2528.7919,1687.24596,22391.2875,149658.616
1742.538,1762.84097,30014.7513,127166.078
2602.56929,1354.17435,10505.7738,211631.42
2176.16255,3647.88063,43878.3199,126980.708
2372.19905,1242.0968,42586.7078,40682.6641
1745.42698,2045.69159,28196.524,95309.6688
2426.69692,3507.8214,32428.5186,144824.985
2412.00554,875.090873,24012.1626,125552.952
2143.20249,3092.3912,15080.7769,214297.596
2141.46885,3796.66914,40335.445,126388.193
2592.65312,2964.42621,43191.256,35683.3754
1980.25477,1880.0669,42444.25,68975.8624
2213.22836,1161.53899,37048.5288,188626.009
2120.97302,2232.99079,12122.6497,101223.062
2268.51057,1215.76298,48895.736,234495.755
2236.44962,2724.06527,47866.5174,101336.197
2395.81897,938.136187,38616.5732,83321.5748
2649.99024,4018.09165,24111.1719,150066.626
2392.3701,1070.94916,8245.06873,244549.877
2474.20552,2235.51148,12079.5193,225200.783
2310.46618,1896.50822,7289.19657,113660.145
1949.21053,2716.71498,42424.9687,210657.78
1960.38625,1237.47284,27683.9704,177166.17
2622.62978,2423.66075,16970.949,205249.579
2460.4176,1475.7693,15553.8976,195094.902
2046.92721,3261.53561,45341.2487,58835.8516
2057.30729,2430.10313,24477.775,67066.8947
1935.48361,1833.90111,30903.4681,227286.043
2274.96101,1896.41438,16289.1288,167762.409
1810.71352,1332.98681,7112.72575,227370.136
1765.00908,2985.93679,15274.7214,168441.079
2444.5552,2586.01201,46720.5181,93214.2946
1818.63708,1550.90066,33491.2478,39060.7052
2239.38456,1189.3779,21607.183,98724.3726
2316.89677,1160.12239,7364.46131,107288.797
1917.4011,1537.02318,36665.5453,52678.6401
2376.63169,1837.60469,44421.0773,37454.7712
2352.11971,2702.69767,42011.8993,168044.357
2137.5382,2493.72658,41885.6255,65160.9888
2150.22153,2865.67844,36159.7328,74599.4113
2186.94853,1664.12984,18821.0255,221917.139
2434.19557,1950.68988,39310.2833,218600.821
2518.3116,2677.25024,39935.7673,136119.842
1740.86225,1091.3873,16896.9078,81386.7361
2311.88725,1164.21888,14285.7965,220990.203
2357.58884,3201.3207,18391.2456,56979.461
2645.17513,1292.504,20377.9697,215025.379
2608.65207,1382.64767,12521.5237,191661.114
2087.82153,3013.40841,26528.5632,225572.089
2275.20516,1011.29551,49459.6882,170078.115
2282.80086,3512.49052,16056.3904,233061.842
2391.10006,2796.35555,10498.9444,101127.115
2666.26676,3211.63721,35068.9944,106274.877
2480.42612,1153.59764,49862.2645,48189.8396
2244.2026,2135.30127,14604.3795,112017.732
2566.16286,3260.0325,14461.3745,180144.726
2193.90744,1628.10248,18904.8552,210543.782
2260.19614,1359.16719,15524.1687,141504.783
2615.57797,2857.0799,46794.0097,148212.624
2537.32067,860.630352,12399.0085,216217.427
2116.99005,2168.0942,32546.5107,79585.5981
1885.00263,3688.39977,27380.677,210227.682
1780.49536,1792.35285,25296.6527,160727.171
2639.58201,3420.9483,28422.0826,97658.5448
2196.73319,3175.09473,30345.6979,53512.4144
2008.02096,3137.24119,7042.00778,201051.718
2628.21421,1375.06046,37390.5658,215495.128
1927.46586,2517.33974,21882.6525,117293.83
2681.41676,2858.05887,43518.713,171070.179
2089.53846,2202.4829,41581.0929,139750.837
2123.41762,1196.5329,18441.7839,115686.379
2675.44036,1968.37849,22405.2384,207535.403
1953.97353,2104.43803,39335.9872,181273.783
2030.84962,2009.57546,28577.9136,198253.58
2407.58212,1563.01528,25339.4182,185367.418
2436.63641,833.044697,11205.5501,66953.0767
