rho_star_150_465,rho_star_465_495,rho_star_495_570,rho_star_570_700,rho_star_700_1000,rho_star_1000_2000
0.0241125784,0.28651907,0.472092594,1.29754544,4.07703123,1.63807339
0.0444902599,0.100490744,0.355750009,0.527393298,8.52707134,1.84346281
0.15634642,0.272071513,0.946210462,1.11582042,7.37704791,4.80030472
0.0451167408,0.286607579,1.27964916,1.55571804,8.35926704,11.0245178
0.0273158528,0.0506403154,0.31720327,0.274385178,4.962806,1.15088935
0.00368065659,0.0360203627,0.158348677,0.229782196,1.50469762,0.531229625
0.0189419687,0.0316891396,0.0741461343,0.280707982,0.615717092,0.534923283
0.0405858995,0.240735004,0.891637008,0.496809383,4.74406845,6.4059155
0.0255273916,0.131572081,0.466486083,0.52332123,4.64703594,1.64984606
0.12218945,0.495021829,2.01531229,2.71026555,21.1555384,7.4742277
0.145243733,0.246787037,1.13985098,1.57346585,3.23673069,4.64509432
0.0125042883,0.0905941036,0.192605392,0.284832074,1.61314882,0.771972972
0.046987567,0.24591503,1.24917808,0.893130346,11.1378046,12.9773417
0.0144261064,0.100002369,0.330129808,0.331495904,3.65113726,1.29061379
0.043720059,0.188449646,0.682012583,0.548206779,14.8324796,4.12859096
0.0160852977,0.0722632771,0.282395414,0.216531783,1.69543617,1.27372705
0.0552544736,0.16920935,1.20360497,0.857484512,9.80393127,2.73651674
0.0713831538,0.334679206,0.938868865,1.81789574,4.69416066,1.97602273
0.0145560917,0.140505709,0.783513208,0.833331536,4.39870474,5.42735131
0.027577405,0.135077929,0.315362003,0.969054249,5.42585492,3.53711559
0.013064214,0.061452599,0.283817077,0.416074884,1.21115095,0.957171348
0.0388996673,0.207255875,0.911091795,1.25291402,4.70368258,4.005543
0.041730034,0.197050675,1.05405242,1.00217295,4.66626192,4.13379915
0.0478718987,0.301919522,1.02889777,1.75779275,2.28485933,8.94454445
0.0157636423,0.0888175616,0.527383112,0.285678111,4.18001263,1.47297144
0.00938478375,0.0507901829,0.0993920719,0.368770757,2.03663491,0.384529266
0.0300798378,0.167292985,0.505900142,0.695013738,4.41307009,1.287394
0.00335722338,0.0143084713,0.0660300375,0.131247837,0.447160001,0.290343853
0.0112630436,0.0280324146,0.0800487309,0.105200407,0.685048761,0.197197141
0.0211884011,0.158473543,0.910570448,0.610556264,3.41192675,1.29675973
0.0267462357,0.130633403,0.564291587,0.515359457,3.72587605,2.05977087
0.0130969034,0.201652279,0.401562262,1.01253956,4.562765,1.88412113
0.0461881568,0.187688302,0.929114616,0.589845904,8.01075209,4.85491569
0.0817274607,0.216787844,0.404092402,1.04448385,8.4758193,5.39710618
0.00388577209,0.0233970545,0.413637525,0.22050329,2.47252088,0.563832035
0.0133202279,0.0671624886,0.323208012,0.475801312,1.56600456,1.12514484
0.0434569882,0.132190213,0.562918436,1.17459889,2.33521439,3.19724701
0.0413967386,0.145505561,0.564040966,0.442371966,3.73372411,4.11547655
0.0184877217,0.105028068,0.375515968,0.818916649,3.08294476,2.30022927
0.051467572,0.24258334,1.90363473,1.44147212,4.1538286,3.79011776
0.0153850769,0.137282773,0.54969424,0.756038452,1.8179661,1.54007012
0.0312555614,0.180076978,0.754964155,0.470607627,4.97059574,1.38134895
0.121707658,0.379608087,1.54597382,1.01287704,10.5110716,20.1533995
0.00582915397,0.0312712109,0.107794841,0.104904525,0.806584803,0.263600943
0.0207522864,0.183098036,0.507590488,1.04895033,6.18112333,2.46522808
0.0351866954,0.105972058,0.25122254,0.656220548,3.55345209,4.99585283
0.0660784882,0.246663808,0.752575042,0.819648075,5.29300168,3.57817476
0.0343230895,0.141645333,0.409513416,1.55412842,3.4709065,4.99573487
0.0530248434,0.149932338,0.647958004,1.09722392,6.47924774,7.71170823
0.123126522,0.742274795,2.31918176,6.1976724,14.1671979,17.2342085
0.0210758452,0.0330994534,0.213296584,0.236739573,1.56028009,0.707161396
0.0636584863,0.366753633,1.94633528,1.90911563,10.4899684,5.14695791
0.00443911631,0.0570588103,0.172640253,0.55314488,1.92174795,0.532702715
0.0515340085,0.158769695,0.737152093,1.12969891,8.7474723,1.52659943
0.0955320805,0.101932597,1.12124752,1.45035216,10.1362278,1.9502615
0.0160792958,0.180014136,0.675736485,0.779502235,1.41348453,3.09693881
0.241344895,0.919337754,2.09844029,7.66229017,21.8517371,9.00373722
0.0518207274,0.156553672,0.243620189,0.371288999,1.36525139,2.56103624
0.00526913578,0.0621240941,0.365093393,0.329362031,2.98774197,0.467594518
0.0400111059,0.249375512,0.596105606,0.6630759,2.17612979,3.26344123
0.0106243623,0.103621174,0.476831791,0.558852741,3.06810946,1.93046619
0.080058188,0.388700494,1.52685796,1.8175762,21.4733604,3.98691491
